year;month;day;hour;hmix
2017;10;09;19;52.95
2017;10;09;20;52.95
2017;10;09;21;52.95
2017;10;09;22;53.26
2017;10;09;23;53.26
2017;10;10;00;53.26
2017;10;10;01;89.62
2017;10;10;02;89.62
2017;10;10;03;89.62
2017;10;10;04;78.19
2017;10;10;05;78.19
2017;10;10;06;78.19
2017;10;10;07;133.67
2017;10;10;08;282.37
2017;10;10;09;377.24
2017;10;10;10;537.39
2017;10;10;11;747.73
2017;10;10;12;974.02
2017;10;10;13;1168.61
2017;10;10;14;1298.05
2017;10;10;15;1364.07
2017;10;10;16;1381.61
2017;10;10;17;1325.22
2017;10;10;18;50.00
2017;10;10;19;56.96
2017;10;10;20;56.96
2017;10;10;21;56.96
2017;10;10;22;53.97
2017;10;10;23;53.97
2017;10;11;00;53.97
2017;10;11;01;55.63
2017;10;11;02;55.63
2017;10;11;03;55.63
2017;10;11;04;53.54
2017;10;11;05;53.54
2017;10;11;06;53.54
2017;10;11;07;53.56
2017;10;11;08;250.12
2017;10;11;09;508.07
2017;10;11;10;774.17
2017;10;11;11;1043.54
2017;10;11;12;1320.62
2017;10;11;13;1523.18
2017;10;11;14;1597.47
2017;10;11;15;1601.53
2017;10;11;16;1589.66
2017;10;11;17;1546.50
2017;10;11;18;50.00
2017;10;11;19;52.14
2017;10;11;20;52.14
2017;10;11;21;52.14
2017;10;11;22;50.01
2017;10;11;23;50.01
2017;10;12;00;50.01
2017;10;12;01;50.19
2017;10;12;02;50.19
2017;10;12;03;50.19
2017;10;12;04;50.12
2017;10;12;05;50.12
2017;10;12;06;50.12
2017;10;12;07;50.23
2017;10;12;08;225.38
2017;10;12;09;523.29
2017;10;12;10;742.54
2017;10;12;11;906.72
2017;10;12;12;1022.30
2017;10;12;13;1104.42
2017;10;12;14;1162.57
2017;10;12;15;1184.81
2017;10;12;16;1179.30
2017;10;12;17;1135.80
2017;10;12;18;50.00
2017;10;12;19;51.21
2017;10;12;20;51.21
2017;10;12;21;51.21
2017;10;12;22;50.00
2017;10;12;23;50.00
2017;10;13;00;50.00
2017;10;13;01;50.03
2017;10;13;02;50.03
2017;10;13;03;50.03
2017;10;13;04;50.23
2017;10;13;05;50.23
2017;10;13;06;50.23
2017;10;13;07;53.27
2017;10;13;08;174.49
2017;10;13;09;308.69
2017;10;13;10;559.97
2017;10;13;11;789.54
2017;10;13;12;911.99
2017;10;13;13;986.88
2017;10;13;14;1031.28
2017;10;13;15;1063.85
2017;10;13;16;1065.12
2017;10;13;17;1031.02
2017;10;13;18;50.00
2017;10;13;19;50.00
2017;10;13;20;50.00
2017;10;13;21;50.00
2017;10;13;22;50.00
2017;10;13;23;50.00
2017;10;14;00;50.00
2017;10;14;01;50.77
2017;10;14;02;50.77
2017;10;14;03;50.77
2017;10;14;04;54.00
2017;10;14;05;54.00
2017;10;14;06;54.00
2017;10;14;07;50.01
2017;10;14;08;113.58
2017;10;14;09;251.23
2017;10;14;10;421.88
2017;10;14;11;562.85
2017;10;14;12;681.17
2017;10;14;13;789.10
2017;10;14;14;867.56
2017;10;14;15;917.19
2017;10;14;16;924.45
2017;10;14;17;884.21
2017;10;14;18;50.00
2017;10;14;19;50.10
2017;10;14;20;50.10
2017;10;14;21;50.10
2017;10;14;22;50.23
2017;10;14;23;50.23
2017;10;15;00;50.23
2017;10;15;01;50.00
2017;10;15;02;50.00
2017;10;15;03;50.00
2017;10;15;04;50.00
2017;10;15;05;50.00
2017;10;15;06;50.00
2017;10;15;07;50.00
2017;10;15;08;104.97
2017;10;15;09;235.72
2017;10;15;10;377.29
2017;10;15;11;502.38
2017;10;15;12;611.18
2017;10;15;13;707.76
2017;10;15;14;781.04
2017;10;15;15;826.22
2017;10;15;16;834.32
2017;10;15;17;797.90
2017;10;15;18;50.00
2017;10;15;19;52.78
2017;10;15;20;52.78
2017;10;15;21;52.78
2017;10;15;22;50.35
2017;10;15;23;50.35
2017;10;16;00;50.35
2017;10;16;01;50.00
2017;10;16;02;50.00
2017;10;16;03;50.00
2017;10;16;04;50.02
2017;10;16;05;50.02
2017;10;16;06;50.02
2017;10;16;07;50.01
2017;10;16;08;120.74
2017;10;16;09;215.57
2017;10;16;10;364.81
2017;10;16;11;501.03
2017;10;16;12;618.05
2017;10;16;13;720.69
2017;10;16;14;797.55
2017;10;16;15;845.70
2017;10;16;16;852.57
2017;10;16;17;801.40
2017;10;16;18;50.00
2017;10;16;19;55.36
2017;10;16;20;55.36
2017;10;16;21;55.36
2017;10;16;22;50.05
2017;10;16;23;50.05
2017;10;17;00;50.05
2017;10;17;01;50.00
2017;10;17;02;50.00
2017;10;17;03;50.00
2017;10;17;04;50.00
2017;10;17;05;50.00
2017;10;17;06;50.00
2017;10;17;07;50.00
2017;10;17;08;83.74
2017;10;17;09;200.17
2017;10;17;10;357.95
2017;10;17;11;500.81
2017;10;17;12;621.85
2017;10;17;13;727.63
2017;10;17;14;806.58
2017;10;17;15;866.26
2017;10;17;16;878.24
2017;10;17;17;819.62
2017;10;17;18;50.00
2017;10;17;19;50.00
2017;10;17;20;50.00
2017;10;17;21;50.00
2017;10;17;22;50.00
2017;10;17;23;50.00
2017;10;18;00;50.00
2017;10;18;01;50.00
2017;10;18;02;50.00
2017;10;18;03;50.00
2017;10;18;04;50.00
2017;10;18;05;50.00
2017;10;18;06;50.00
2017;10;18;07;50.00
2017;10;18;08;61.08
2017;10;18;09;163.59
2017;10;18;10;269.27
2017;10;18;11;360.00
2017;10;18;12;448.08
2017;10;18;13;620.31
2017;10;18;14;692.58
2017;10;18;15;740.99
2017;10;18;16;747.88
2017;10;18;17;699.92
2017;10;18;18;51.66
2017;10;18;19;50.09
2017;10;18;20;50.09
2017;10;18;21;50.09
2017;10;18;22;50.00
2017;10;18;23;50.00
2017;10;19;00;50.00
2017;10;19;01;50.00
2017;10;19;02;50.00
2017;10;19;03;50.00
2017;10;19;04;50.02
2017;10;19;05;50.02
2017;10;19;06;50.02
2017;10;19;07;50.01
2017;10;19;08;337.02
2017;10;19;09;599.58
2017;10;19;10;748.07
2017;10;19;11;832.20
2017;10;19;12;883.97
2017;10;19;13;930.58
2017;10;19;14;960.38
2017;10;19;15;978.36
2017;10;19;16;971.47
2017;10;19;17;925.58
2017;10;19;18;50.00
2017;10;19;19;50.00
2017;10;19;20;50.00
2017;10;19;21;50.00
2017;10;19;22;50.00
2017;10;19;23;50.00
2017;10;20;00;50.00
2017;10;20;01;50.01
2017;10;20;02;50.01
2017;10;20;03;50.01
2017;10;20;04;50.02
2017;10;20;05;50.02
2017;10;20;06;50.02
2017;10;20;07;50.00
2017;10;20;08;155.20
2017;10;20;09;340.51
2017;10;20;10;612.61
2017;10;20;11;772.98
2017;10;20;12;852.60
2017;10;20;13;899.72
2017;10;20;14;929.98
2017;10;20;15;944.54
2017;10;20;16;935.75
2017;10;20;17;892.00
2017;10;20;18;50.00
2017;10;20;19;50.02
2017;10;20;20;50.02
2017;10;20;21;50.02
2017;10;20;22;50.00
2017;10;20;23;50.00
2017;10;21;00;50.00
2017;10;21;01;50.00
2017;10;21;02;50.00
2017;10;21;03;50.00
2017;10;21;04;50.00
2017;10;21;05;50.00
2017;10;21;06;50.00
2017;10;21;07;50.00
2017;10;21;08;180.66
2017;10;21;09;534.91
